Product Title,Brand,Type,Variant Name,Color HEX,Color RGB,Season 1 Name,Season 1 Percent,S1 Closest Color,Season 2 Name,Season 2 Percent,S2 Closest Color,Tone,Cluster,Image URL,Product URL
Wardah Glasting liquid lip,wardah,lip,01 Caramel Coat,#d5806c,"(213, 128, 108)",autumn soft,51.71063305912939,"[224.0, 134.0, 127.0]",summer soft,48.28936694087063,"[197.0, 121.0, 125.0]",medium_tan,Cluster 4,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1710312447.png,https://www.wardahbeauty.com/id/product/make-up/wardah-glasting-liquid-lip?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=1
Wardah Glasting liquid lip,wardah,lip,02 Peach Polish,#d2797a,"(210, 121, 122)",summer soft,59.68077632412692,"[197.0, 121.0, 125.0]",autumn soft,40.3192236758731,"[224.0, 134.0, 127.0]",medium_tan,Cluster 4,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1710312447.png,https://www.wardahbeauty.com/id/product/make-up/wardah-glasting-liquid-lip?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=1
Wardah Glasting liquid lip,wardah,lip,03 Dazzle Maple,#bb5342,"(187, 83, 66)",autumn soft,60.00522750545287,"[167.0, 85.0, 47.0]",autumn warm,39.99477249454714,"[218.0, 103.0, 85.0]",dark_deep,Cluster 5,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1710312447.png,https://www.wardahbeauty.com/id/product/make-up/wardah-glasting-liquid-lip?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=1
Wardah Glasting liquid lip,wardah,lip,04 Rosewood Radiance,#ba565d,"(186, 86, 93)",summer soft,52.90165555014428,"[177.0, 89.0, 123.0]",summer light,47.09834444985571,"[164.0, 104.0, 114.0]",dark_deep,Cluster 6,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1710312447.png,https://www.wardahbeauty.com/id/product/make-up/wardah-glasting-liquid-lip?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=1
Wardah Glasting liquid lip,wardah,lip,05 Glazing Berry,#a74d65,"(167, 77, 101)",summer soft,52.74525393905192,"[177.0, 89.0, 123.0]",summer light,47.25474606094808,"[164.0, 104.0, 114.0]",dark_deep,Cluster 6,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1710312447.png,https://www.wardahbeauty.com/id/product/make-up/wardah-glasting-liquid-lip?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=1
Wardah Glasting liquid lip,wardah,lip,06 Ruby Sparks,#850507,"(133, 5, 7)",autumn deep,50.70717551697796,"[95.0, 46.0, 22.0]",autumn warm,49.29282448302204,"[156.0, 35.0, 53.0]",dark_deep,Cluster 9,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1710312447.png,https://www.wardahbeauty.com/id/product/make-up/wardah-glasting-liquid-lip?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=1
Refill Colorfit Perfect Glow Cushion SPF 33 PA++,wardah,face,11C Pink Fair,#F3C4BF,"(243, 196, 191)",autumn soft,54.15587238848241,"[222.0, 193.0, 182.0]",spring light,45.84412761151759,"[253.0, 171.0, 187.0]",fair_light,Cluster 1,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1655884805.png,https://www.wardahbeauty.com/id/product/make-up/refill-colorfit-perfect-glow-cushion-spf-33-pa?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Refill Colorfit Perfect Glow Cushion SPF 33 PA++,wardah,face,22N Light Ivory,#F0BF9B,"(240, 191, 155)",spring light,55.78121100146844,"[255.0, 176.0, 146.0]",spring clear,44.21878899853154,"[253.0, 167.0, 165.0]",fair_light,Cluster 2,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1655884805.png,https://www.wardahbeauty.com/id/product/make-up/refill-colorfit-perfect-glow-cushion-spf-33-pa?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Refill Colorfit Perfect Glow Cushion SPF 33 PA++,wardah,face,23W Warm Ivory,#ECBA93,"(236, 186, 147)",spring light,59.21651388312546,"[255.0, 176.0, 146.0]",spring clear,40.78348611687453,"[253.0, 167.0, 165.0]",medium_tan,Cluster 2,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1655884805.png,https://www.wardahbeauty.com/id/product/make-up/refill-colorfit-perfect-glow-cushion-spf-33-pa?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Refill Colorfit Perfect Glow Cushion SPF 33 PA++,wardah,face,32N Neutral Beige,#D5A286,"(213, 162, 134)",autumn warm,58.86140833933177,"[217.0, 159.0, 113.0]",autumn soft,41.13859166066821,"[224.0, 134.0, 127.0]",medium_tan,Cluster 3,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1655884805.png,https://www.wardahbeauty.com/id/product/make-up/refill-colorfit-perfect-glow-cushion-spf-33-pa?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
