Product Name,Variant Name,Color HEX,Product URL
Hanasui Mattedorable Lipstick 113 Tropical,113 Tropical,#d05559,https://hanasui.id/makeup/lipstick
Hanasui Mattedorable Lipstick 115 Sandstone,115 Sandstone,#e68579,https://hanasui.id/makeup/lipstick
Hanasui Mattedorable Lipstick 117 Jazzy ,117 Jazzy,#6d141c,https://hanasui.id/makeup/lipstick
Hanasui Mattedorable Lipstick 118 Retro,118 Retro,#6a1d34,https://hanasui.id/makeup/lipstick
Hanasui Glazedorable Vinyl Stain 01 Not Today,Not Today,#8a2432,https://hanasui.id/makeup/vinyl_stain
Hanasui Glazedorable Vinyl Stain 02 Yes Honey,Yes Honey,#b12028,https://hanasui.id/makeup/vinyl_stain
Hanasui Glazedorable Vinyl Stain 03 Thank You,Thank You,#b92454,https://hanasui.id/makeup/vinyl_stain
Hanasui Glazedorable Vinyl Stain 04 Bless Me,Bless Me,#d73b73,https://hanasui.id/makeup/vinyl_stain
Hanasui Glazedorable Vinyl Stain 05 Speechless,05 Speechless,#8f3f2b,https://hanasui.id/makeup/vinyl_stain
Hanasui Glazedorable Vinyl Stain 06 Stay Cool,Stay Cool,#a95b51,https://hanasui.id/makeup/vinyl_stain
Hanasui Perfect Cheek Blush & Go Pink,Go Pink,#f49ca1,https://hanasui.id/makeup/blush_on
Hanasui Perfect Cheek Blush & Go Peach ,Go Peach,#ec9f91,https://hanasui.id/makeup/blush_on
