season,R,G,B,R_adjusted,G_adjusted,B_adjusted
summer light,206,218,229,226,239,251
summer light,73,118,192,80,129,211
summer light,164,104,114,180,114,125
summer light,144,183,255,158,201,255
summer soft,159,107,148,174,117,162
summer soft,76,173,129,83,190,141
summer soft,197,121,125,216,133,137
summer soft,130,143,237,143,157,255
summer soft,155,204,199,170,224,218
summer soft,145,196,236,159,215,255
summer soft,177,89,123,194,97,135
summer soft,255,246,183,255,255,201
summer soft,111,149,182,122,163,200
summer soft,228,106,154,250,116,169
summer cool,122,66,113,134,72,124
summer cool,92,227,221,101,249,243
summer cool,152,42,85,167,46,93
summer cool,24,55,121,26,60,133
summer cool,0,165,134,0,181,147
summer cool,145,196,236,159,215,255
summer cool,188,142,195,206,156,214
summer cool,184,183,193,202,201,212
summer cool,59,192,211,64,211,232
summer cool,208,49,79,228,53,86
autumn deep,245,152,0,255,167,0
autumn deep,89,61,56,97,67,61
autumn deep,22,74,116,24,81,127
autumn deep,64,25,57,70,27,62
autumn deep,27,61,0,29,67,0
autumn deep,255,210,0,255,231,0
autumn deep,101,106,78,111,116,85
autumn deep,95,46,22,104,50,24
autumn deep,44,19,6,48,20,6
autumn deep,227,36,0,249,39,0
autumn soft,149,121,168,163,133,184
autumn soft,224,134,127,246,147,139
autumn soft,108,190,190,118,209,209
autumn soft,49,100,146,53,110,160
autumn soft,57,107,33,62,117,36
autumn soft,231,113,59,254,124,64
autumn soft,101,106,78,111,116,85
autumn soft,222,193,182,244,212,200
autumn soft,167,85,47,183,93,51
autumn soft,236,216,97,255,237,106
autumn warm,199,28,0,218,30,0
autumn warm,99,109,0,108,119,0
autumn warm,218,103,85,239,113,93
autumn warm,217,159,113,238,174,124
autumn warm,133,67,35,146,73,38
autumn warm,0,65,52,0,71,57
autumn warm,156,35,53,171,38,58
autumn warm,241,96,32,255,105,35
autumn warm,128,180,92,140,198,101
autumn warm,232,193,24,255,212,26
winter deep,92,47,120,101,51,132
winter deep,205,52,135,225,57,148
winter deep,0,72,80,0,79,88
winter deep,152,42,85,167,46,93
winter deep,53,66,97,58,72,106
winter deep,255,242,101,255,255,111
winter deep,95,98,107,104,107,117
winter deep,28,40,130,30,44,143
winter deep,198,31,87,217,34,95
winter deep,0,0,0,0,0,0
winter clear,234,223,255,255,245,255
winter clear,0,133,196,0,146,215
winter clear,35,184,104,38,202,114
winter clear,1,24,134,1,26,147
winter clear,251,251,56,255,255,61
winter clear,255,48,151,255,52,166
winter clear,107,238,220,117,255,242
winter clear,194,31,90,213,34,99
winter clear,98,40,134,107,44,147
winter clear,33,33,33,36,36,36
winter cool,25,87,190,27,95,209
winter cool,51,148,205,56,162,225
winter cool,169,156,190,185,171,209
winter cool,0,86,95,0,94,104
winter cool,134,42,91,147,46,100
winter cool,255,233,242,255,255,255
winter cool,167,167,167,183,183,183
winter cool,37,42,95,40,46,104
winter cool,111,71,134,122,78,147
winter cool,255,255,255,255,255,255
spring light,49,201,255,58,241,255
spring light,200,241,183,240,255,219
spring light,253,171,187,255,205,224
spring light,97,203,101,116,243,121
spring light,253,107,122,255,128,146
spring light,255,176,146,255,211,175
spring light,255,241,166,255,255,199
spring light,148,214,209,177,255,250
spring light,239,239,234,255,255,255
spring clear,255,232,58,255,255,69
spring clear,193,190,184,231,228,220
spring clear,49,64,150,58,76,180
spring clear,253,167,165,255,200,198
spring clear,22,154,64,26,184,76
spring clear,255,182,67,255,218,80
spring clear,0,212,196,0,254,235
spring clear,75,210,78,90,252,93
spring clear,255,191,218,255,229,255
spring clear,255,64,74,255,76,88
spring warm,255,143,114,255,171,136
spring warm,251,95,87,255,114,104
spring warm,121,161,74,145,193,88
spring warm,82,184,172,98,220,206
spring warm,144,76,25,172,91,30
spring warm,255,182,67,255,218,80
spring warm,133,211,106,159,253,127
spring warm,225,128,74,255,153,88
spring warm,55,154,71,66,184,85
spring warm,255,114,72,255,136,86
summer light,183,244,252,219,255,255
summer light,181,162,206,217,194,247
summer light,137,227,179,164,255,214
summer light,124,169,212,148,202,254
summer light,219,206,247,255,247,255
summer light,255,220,243,255,255,255
summer light,206,218,229,247,255,255
summer light,73,118,192,87,141,230
summer light,164,104,114,196,124,136
summer light,144,183,255,172,219,255
summer soft,159,107,148,190,128,177
summer soft,76,173,129,91,207,154
summer soft,197,121,125,236,145,150
summer soft,130,143,237,156,171,255
summer soft,155,204,199,186,244,238
summer soft,145,196,236,174,235,255
summer soft,177,89,123,212,106,147
summer soft,255,246,183,255,255,219
summer soft,111,149,182,133,178,218
summer soft,228,106,154,255,127,184
summer cool,122,66,113,146,79,135
summer cool,92,227,221,110,255,255
summer cool,152,42,85,182,50,102
summer cool,24,55,121,28,66,145
summer cool,0,165,134,0,198,160
summer cool,145,196,236,174,235,255
summer cool,188,142,195,225,170,234
summer cool,184,183,193,220,219,231
summer cool,59,192,211,70,230,253
summer cool,208,49,79,249,58,94
autumn deep,245,152,0,255,182,0
autumn deep,89,61,56,106,73,67
autumn deep,22,74,116,26,88,139
autumn deep,64,25,57,76,30,68
autumn deep,27,61,0,32,73,0
autumn deep,255,210,0,255,252,0
autumn deep,101,106,78,121,127,93
autumn deep,95,46,22,114,55,26
autumn deep,44,19,6,52,22,7
autumn deep,227,36,0,255,43,0
autumn soft,149,121,168,178,145,201
autumn soft,224,134,127,255,160,152
autumn soft,108,190,190,129,228,228
autumn soft,49,100,146,58,120,175
autumn soft,57,107,33,68,128,39
autumn soft,231,113,59,255,135,70
autumn soft,101,106,78,121,127,93
autumn soft,222,193,182,255,231,218
autumn soft,167,85,47,200,102,56
autumn soft,236,216,97,255,255,116
autumn warm,199,28,0,238,33,0
autumn warm,99,109,0,118,130,0
autumn warm,218,103,85,255,123,102
autumn warm,217,159,113,255,190,135
autumn warm,133,67,35,159,80,42
autumn warm,0,65,52,0,78,62
autumn warm,156,35,53,187,42,63
autumn warm,241,96,32,255,115,38
autumn warm,128,180,92,153,216,110
autumn warm,232,193,24,255,231,28
winter deep,92,47,120,110,56,144
winter deep,205,52,135,246,62,162
winter deep,0,72,80,0,86,96
winter deep,152,42,85,182,50,102
winter deep,53,66,97,63,79,116
winter deep,255,242,101,255,255,121
winter deep,95,98,107,114,117,128
winter deep,28,40,130,33,48,156
winter deep,198,31,87,237,37,104
winter deep,0,0,0,0,0,0
winter clear,234,223,255,255,255,255
winter clear,0,133,196,0,159,235
winter clear,35,184,104,42,220,124
winter clear,1,24,134,1,28,160
winter clear,251,251,56,255,255,67
winter clear,255,48,151,255,57,181
winter clear,107,238,220,128,255,255
winter clear,194,31,90,232,37,108
winter clear,98,40,134,117,48,160
winter clear,33,33,33,39,39,39
winter cool,25,87,190,30,104,228
winter cool,51,148,205,61,177,246
winter cool,169,156,190,202,187,228
winter cool,0,86,95,0,103,114
winter cool,134,42,91,160,50,109
winter cool,255,233,242,255,255,255
winter cool,167,167,167,200,200,200
winter cool,37,42,95,44,50,114
winter cool,111,71,134,133,85,160
winter cool,255,255,255,255,255,255
