Product Title,Variant Name,Color HEX,Product URL
"PIXY UVW BB Cream | PIXY - My Beauty, My Energy",Ochre,#DAB38D,https://www.pixy.co.id/product/pixy-uvw-bb-cream
"PIXY UVW BB Cream | PIXY - My Beauty, My Energy",Cream,#D6A285,https://www.pixy.co.id/product/pixy-uvw-bb-cream
"PIXY UVW BB Cream | PIXY - My Beauty, My Energy",Beige,#C09473,https://www.pixy.co.id/product/pixy-uvw-bb-cream
"PIXY UVW BB Cream | PIXY - My Beauty, My Energy",Almond Milk,#CE8B5E,https://www.pixy.co.id/product/pixy-uvw-bb-cream
"PIXY Make It Glow Techno-Fixed Matte Cushion Refill | PIXY - My Beauty, My Energy",PIXY Make It Glow Techno-Fixed Matte Cushion Refill 101 Light Beige,#EFCDA2,https://www.pixy.co.id/product/pixy-make-it-glow-techno-fixed-matte-cushion-refill
"PIXY Make It Glow Techno-Fixed Matte Cushion Refill | PIXY - My Beauty, My Energy",PIXY Make It Glow Techno-Fixed Matte Cushion Refill 201 Neutral BeigePIXY Make It Glow Techno-Fixed Matte Cushion Refill 201 Neutral Beige,#E5C498,https://www.pixy.co.id/product/pixy-make-it-glow-techno-fixed-matte-cushion-refill
"PIXY Make It Glow Techno-Fixed Matte Cushion Refill | PIXY - My Beauty, My Energy",PIXY Make It Glow Techno-Fixed Matte Cushion Refill 301 Medium Beige,#D3A47F,https://www.pixy.co.id/product/pixy-make-it-glow-techno-fixed-matte-cushion-refill
"PIXY Make It Glow Techno-Fixed Matte Cushion   | PIXY - My Beauty, My Energy",Light Beige ,#F1C6A7,https://www.pixy.co.id/product/pixy-make-it-glow-techno-fixed-matte-cushion-1
"PIXY Make It Glow Techno-Fixed Matte Cushion   | PIXY - My Beauty, My Energy",Neutral Beige ,#E0C09F,https://www.pixy.co.id/product/pixy-make-it-glow-techno-fixed-matte-cushion-1
"PIXY Make It Glow Techno-Fixed Matte Cushion   | PIXY - My Beauty, My Energy",Medium Beige,#CDA077,https://www.pixy.co.id/product/pixy-make-it-glow-techno-fixed-matte-cushion-1
"PIXY Perfect Fit Liquid Foundation | PIXY - My Beauty, My Energy",01 White Cream,#EAD1B6,https://www.pixy.co.id/product/pixy-perfect-fit-liquid-foundation
"PIXY Perfect Fit Liquid Foundation | PIXY - My Beauty, My Energy",02 Yellow Beige,#E6C096,https://www.pixy.co.id/product/pixy-perfect-fit-liquid-foundation
"PIXY Perfect Fit Liquid Foundation | PIXY - My Beauty, My Energy",03 Natural White,#E7C1A0,https://www.pixy.co.id/product/pixy-perfect-fit-liquid-foundation
"PIXY Perfect Fit Liquid Foundation | PIXY - My Beauty, My Energy",04 Natural Beige,#DBB48E,https://www.pixy.co.id/product/pixy-perfect-fit-liquid-foundation
"PIXY Perfect Fit Liquid Foundation | PIXY - My Beauty, My Energy",05 Tropical Beige,#CEA176,https://www.pixy.co.id/product/pixy-perfect-fit-liquid-foundation
"PIXY UVW  Loose Powder | PIXY - My Beauty, My Energy",Ivory,#DB9C77,https://www.pixy.co.id/product/pixy-uvw-loose-powder
"PIXY UVW  Loose Powder | PIXY - My Beauty, My Energy",Yellow Beige,#EABE8A,https://www.pixy.co.id/product/pixy-uvw-loose-powder
"PIXY UVW  Loose Powder | PIXY - My Beauty, My Energy",Natural Beige,#DFB18A,https://www.pixy.co.id/product/pixy-uvw-loose-powder
"PIXY Make It Glow Silky Powdery Cake | PIXY - My Beauty, My Energy",Light Beige,#EFCBA3,https://www.pixy.co.id/product/pixy-make-it-glow-silky-powdery-cake
"PIXY Make It Glow Silky Powdery Cake | PIXY - My Beauty, My Energy",Neutral Beige,#D1AE7D,https://www.pixy.co.id/product/pixy-make-it-glow-silky-powdery-cake
"PIXY Make It Glow Silky Powdery Cake | PIXY - My Beauty, My Energy",Medium Beige,#C99D64,https://www.pixy.co.id/product/pixy-make-it-glow-silky-powdery-cake
"PIXY Make It Glow Silky Powdery Cake | PIXY - My Beauty, My Energy",Sandy Beige,#C28D6F,https://www.pixy.co.id/product/pixy-make-it-glow-silky-powdery-cake
"PIXY UVW TWC Perfect Last | PIXY - My Beauty, My Energy",Fair Ochre,#E7C1A0,https://www.pixy.co.id/product/pixy-uvw-twc-perfect-last
"PIXY UVW TWC Perfect Last | PIXY - My Beauty, My Energy",Natural Buff,#D1A579,https://www.pixy.co.id/product/pixy-uvw-twc-perfect-last
"PIXY UVW TWC Perfect Last | PIXY - My Beauty, My Energy",Sand Beige,#C39174,https://www.pixy.co.id/product/pixy-uvw-twc-perfect-last
"PIXY Two Way Cake Perfect Fit | PIXY - My Beauty, My Energy",Ivory,#DB9C77,https://www.pixy.co.id/product/pixy-two-way-cake-perfect-fit
"PIXY Two Way Cake Perfect Fit | PIXY - My Beauty, My Energy",Natural Beige,#DFB18A,https://www.pixy.co.id/product/pixy-two-way-cake-perfect-fit
"PIXY Two Way Cake Perfect Fit | PIXY - My Beauty, My Energy",Natural White,#F5DCBE,https://www.pixy.co.id/product/pixy-two-way-cake-perfect-fit
"PIXY Two Way Cake Perfect Fit | PIXY - My Beauty, My Energy",Tropical Beige,#C49C78,https://www.pixy.co.id/product/pixy-two-way-cake-perfect-fit
"PIXY Two Way Cake Perfect Fit | PIXY - My Beauty, My Energy",Golden Beige,#E6B07D,https://www.pixy.co.id/product/pixy-two-way-cake-perfect-fit
"PIXY Two Way Cake Perfect Fit | PIXY - My Beauty, My Energy",White Cream,#E7C1A0,https://www.pixy.co.id/product/pixy-two-way-cake-perfect-fit
"PIXY Two Way Cake Perfect Fit | PIXY - My Beauty, My Energy",Yellow Beige,#EABE8A,https://www.pixy.co.id/product/pixy-two-way-cake-perfect-fit
"PIXY Two Way Cake Perfect Fit | PIXY - My Beauty, My Energy",Cream Beige,#D29C6D,https://www.pixy.co.id/product/pixy-two-way-cake-perfect-fit
"PIXY Eyeshadow | PIXY - My Beauty, My Energy",Romantic Poem,#F2C6CE,https://www.pixy.co.id/product/pixy-eyeshadow
"PIXY Eyeshadow | PIXY - My Beauty, My Energy",Sorrel Brown,#DA9189,https://www.pixy.co.id/product/pixy-eyeshadow
"PIXY Eyeshadow | PIXY - My Beauty, My Energy",Bronze Delight,#E3B9B3,https://www.pixy.co.id/product/pixy-eyeshadow
"PIXY 3-Shades Eye Shadow | PIXY - My Beauty, My Energy",Chic Terracota,#E1B6A5,https://www.pixy.co.id/product/pixy-3-shades-eye-shadow
"PIXY 3-Shades Eye Shadow | PIXY - My Beauty, My Energy",Green Rhythm,#F3BE9A,https://www.pixy.co.id/product/pixy-3-shades-eye-shadow
"PIXY 3-Shades Eye Shadow | PIXY - My Beauty, My Energy",Pinkish Glam,#D6D1CA,https://www.pixy.co.id/product/pixy-3-shades-eye-shadow
"PIXY Line & Shadow | PIXY - My Beauty, My Energy",Green,#153E35,https://www.pixy.co.id/product/pixy-line-shadow
"PIXY Line & Shadow | PIXY - My Beauty, My Energy",White,#FFFFFF,https://www.pixy.co.id/product/pixy-line-shadow
"PIXY Line & Shadow | PIXY - My Beauty, My Energy",Blue,#33647E,https://www.pixy.co.id/product/pixy-line-shadow
"PIXY Line & Shadow | PIXY - My Beauty, My Energy",Black,#222222,https://www.pixy.co.id/product/pixy-line-shadow
"PIXY Line & Shadow | PIXY - My Beauty, My Energy",Platinum,#8C9091,https://www.pixy.co.id/product/pixy-line-shadow
