Product Title,Variant Name,Color HEX,Product URL
Matte Lip Cream | Wardah Indonesia,Red-dicted	,#a92431,https://www.wardahbeauty.com/id/product/make-up/matte-lip-cream?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=1
Colorfit Perfect Glow Cushion | Wardah Indonesia,42N Neutral Sand,#D8A380,https://www.wardahbeauty.com/id/product/make-up/colorfit-perfect-glow-cushion?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Colorfit Perfect Glow Cushion | Wardah Indonesia,43W Golden Sand,#DD9767,https://www.wardahbeauty.com/id/product/make-up/colorfit-perfect-glow-cushion?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Colorfit Perfect Glow Cushion | Wardah Indonesia,52N Almond,#A6631B,https://www.wardahbeauty.com/id/product/make-up/colorfit-perfect-glow-cushion?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Colorfit Perfect Glow Cushion | Wardah Indonesia,22N Light Ivory,#F0BF9B,https://www.wardahbeauty.com/id/product/make-up/colorfit-perfect-glow-cushion?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Everyday! Matte Lip Shot | Wardah Indonesia,#fyp,#9D2235,https://www.wardahbeauty.com/id/product/make-up/everyday-matte-lip-shot?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Everyday! Matte Lip Shot | Wardah Indonesia,#throwback,#D25B73,https://www.wardahbeauty.com/id/product/make-up/everyday-matte-lip-shot?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Everyday! Matte Lip Shot | Wardah Indonesia,#nowplaying,#D6938A,https://www.wardahbeauty.com/id/product/make-up/everyday-matte-lip-shot?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Everyday! Matte Lip Shot | Wardah Indonesia,#ootd,#C26E60,https://www.wardahbeauty.com/id/product/make-up/everyday-matte-lip-shot?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Everyday! Matte Lip Shot | Wardah Indonesia,#mood,#A45248,https://www.wardahbeauty.com/id/product/make-up/everyday-matte-lip-shot?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Lightening Liquid Foundation 6ml | Wardah Indonesia,Light Beige	,#e6dfd9,https://www.wardahbeauty.com/id/product/make-up/lightening-liquid-foundation-6ml?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Lightening Liquid Foundation 6ml | Wardah Indonesia,Beige,#f7e5cc,https://www.wardahbeauty.com/id/product/make-up/lightening-liquid-foundation-6ml?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Lightening Liquid Foundation 6ml | Wardah Indonesia,Ivory,#eed2ad,https://www.wardahbeauty.com/id/product/make-up/lightening-liquid-foundation-6ml?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Lightening Liquid Foundation 6ml | Wardah Indonesia,Natural,#e89d69,https://www.wardahbeauty.com/id/product/make-up/lightening-liquid-foundation-6ml?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=2
Colorfit Cream Blush | Wardah Indonesia,Sand Coral,#DD7975,https://www.wardahbeauty.com/id/product/make-up/colorfit-cream-blush?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Colorfit Cream Blush | Wardah Indonesia,Merry Mauve,#CF6F77,https://www.wardahbeauty.com/id/product/make-up/colorfit-cream-blush?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Colorfit Cream Blush | Wardah Indonesia,Summer Peach,#F18070,https://www.wardahbeauty.com/id/product/make-up/colorfit-cream-blush?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Colorfit Fresh Lip Ink Serum | Wardah Indonesia,Energy Shot,#BC8A7E,https://www.wardahbeauty.com/id/product/make-up/colorfit-fresh-lip-ink-serum?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Colorfit Fresh Lip Ink Serum | Wardah Indonesia,Smart Cookie,#B66C6D,https://www.wardahbeauty.com/id/product/make-up/colorfit-fresh-lip-ink-serum?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Colorfit Fresh Lip Ink Serum | Wardah Indonesia,High Rise,#B04A5A,https://www.wardahbeauty.com/id/product/make-up/colorfit-fresh-lip-ink-serum?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Colorfit Fresh Lip Ink Serum | Wardah Indonesia,Speedster,#B65A65,https://www.wardahbeauty.com/id/product/make-up/colorfit-fresh-lip-ink-serum?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Colorfit Fresh Lip Ink Serum | Wardah Indonesia,Soul Mover,#A45248,https://www.wardahbeauty.com/id/product/make-up/colorfit-fresh-lip-ink-serum?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Colorfit Fresh Lip Ink Serum | Wardah Indonesia,Hyped Up,#B33D26,https://www.wardahbeauty.com/id/product/make-up/colorfit-fresh-lip-ink-serum?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
